Date,Open,High,Low,Close
8-Sep-16,8916,8960,8896,8952.5
9-Sep-16,8934,8939,8859,8866.7
12-Sep-16,8733,8747,8699,8715.6
14-Sep-16,8711,8740,8689,8726.6
15-Sep-16,8744,8752,8704,8742.55
16-Sep-16,8781,8848,8751,8779.85
19-Sep-16,8788,8824,8774,8808.4
20-Sep-16,8816,8816,8759,8775.9
21-Sep-16,8790,8827,8757,8777.15
22-Sep-16,8873,8893,8838,8867.45
23-Sep-16,8881,8885,8820,8831.55
26-Sep-16,8808,8810,8715,8723.05
27-Sep-16,8749,8769,8691,8706.4
28-Sep-16,8711,8767,8703,8745.15
29-Sep-16,8793,8801,8558,8591.25
30-Sep-16,8582,8637,8555,8611.15
3-Oct-16,8666,8745,8635,8738.1
4-Oct-16,8770,8784,8736,8769.15
5-Oct-16,8806,8807,8731,8743.95
6-Oct-16,8769,8781,8685,8709.55
7-Oct-16,8722,8724,8664,8697.6
10-Oct-16,8735,8746,8704,8708.8
13-Oct-16,8672,8682,8541,8573.35
14-Oct-16,8594,8604,8550,8583.4
17-Oct-16,8613,8615,8506,8520.4
18-Oct-16,8556,8685,8556,8677.9
19-Oct-16,8698,8699,8637,8659.1
20-Oct-16,8693,8727,8678,8699.4
21-Oct-16,8709,8709,8652,8693.05
24-Oct-16,8710,8737,8684,8708.95
25-Oct-16,8722,8723,8663,8691.3
26-Oct-16,8657,8657,8597,8615.25
27-Oct-16,8607,8625,8550,8615.25
28-Oct-16,8625,8654,8582,8638
30-Oct-16,8672,8678,8616,8625.7
1-Nov-16,8653,8670,8615,8626.25
2-Nov-16,8543,8550,8505,8514
3-Nov-16,8500,8538,8476,8484.95
4-Nov-16,8504,8504,8400,8433.75
7-Nov-16,8536,8536,8481,8497.05
8-Nov-16,8540,8559,8480,8543.55
9-Nov-16,8068,8476,8002,8432
10-Nov-16,8556,8598,8511,8525.75
11-Nov-16,8457,8461,8285,8296.3
15-Nov-16,8285,8289,8093,8108.45
16-Nov-16,8206,8210,8089,8111.6
17-Nov-16,8105,8151,8060,8079.95
18-Nov-16,8098,8129,8048,8074.1
21-Nov-16,8102,8102,7916,7929.1
22-Nov-16,7989,8019,7938,8002.3
23-Nov-16,8051,8055,7973,8033.3
24-Nov-16,8012,8025,7953,7965.5
25-Nov-16,8008,8122,7977,8114.3
28-Nov-16,8081,8147,8067,8126.9
29-Nov-16,8132,8197,8129,8142.15
30-Nov-16,8172,8234,8139,8224.5
1-Dec-16,8244,8251,8185,8192.9
2-Dec-16,8154,8159,8070,8086.8
5-Dec-16,8089,8142,8057,8128.75
6-Dec-16,8153,8179,8131,8143.15
7-Dec-16,8168,8190,8078,8102.05
8-Dec-16,8152,8256,8152,8246.85
